76,73,73,73,73,73,73,75,15,15,15,67,67,15,25,15,76,73,73,73,73,73,73,75
76,73,73,73,73,73,73,75,15,25,15,67,67,15,15,15,76,73,73,73,73,73,73,75
76,73,73,73,73,73,73,75,15,15,15,15,16,15,15,15,76,73,73,73,73,73,73,75
77,74,74,74,74,74,74,78,16,15,15,25,15,15,15,15,77,74,74,74,74,74,74,78
15,15,15,15,15,15,25,15,15,15,15,15,15,15,25,15,15,15,15,15,15,15,15,15
15,15,15,15,15,16,15,15,15,15,25,15,15,15,16,15,82,83,16,15,25,15,15,15
15,15,15,15,15,15,15,25,15,15,15,15,25,15,15,15,25,15,15,15,15,25,15,15
15,25,15,15,15,15,15,15,16,15,15,15,15,15,25,15,15,15,15,16,15,15,16,15
15,15,15,15,15,25,15,15,15,15,15,15,15,15,15,15,16,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,25,15,15,15,15,15,15,15,25,15,25,15,15,15
72,72,72,72,72,72,15,15,15,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
14,14,14,14,14,68,67,67,70,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,14,14,14,14,68,67,67,70,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,14,14,14,14,68,67,67,70,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,14,14,14,14,68,67,67,70,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,14,14,14,14,68,67,67,67,67,67,67,67,67,14,14,14,14,14,14,14,14,14,14
71,71,71,71,71,68,67,67,67,67,67,67,67,67,71,71,71,71,71,71,71,71,71,71
14,14,14,14,14,69,67,67,67,67,67,67,67,67,14,14,14,14,14,14,14,14,14,14
14,14,14,14,14,14,66,66,66,66,66,66,66,66,14,14,14,14,14,14,14,14,14,14
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
